Place,Activity,Lat,Long
Mal,Naar een bal,50.7810151,5.4648131
Ghent,Naar een tent,51.0538286,3.7250121
Leest,Feestvieren,51.0350559,4.4150058
Peer,Sfeer maken,51.1319137,5.4546268
As,Gas geven,51.008056,5.583915
Tielt,Tilt slaan,51.000156,3.326531
Lot,Zot worden,50.767928,4.276887
Puurs,Tureluurs worden,51.074952,4.288779
Lint,Frisse pint,51.127381,4.497515
Heist,Kip met rijst eten,51.340004,3.239678
Reet,Naar een keet,51.1017566,4.4129446
Bree,Op café,51.1417984,5.5985009
Schriek,Kriek drinken,51.0248817,4.6908515
Geel,Scheel kijken,51.1610826,4.9903187
Leut,Leuk maken,50.9921686,5.7355142
Doel,Zwoel maken,51.311084,4.2645971
Duffel,Dikke knuffel,51.0957176,4.5061988
Sinaai,Een aai,51.15689,4.04172
Vorst,Mooie borst,50.8091426,4.3177512
Niel,Sex-appeal,51.1098649,4.3303396
Bere,Uit de kleren,50.9498382,3.2888527
Gits,Uit de rits,50.997578,3.099906
Boom,Natte droom,51.086235,4.366447
Haacht,Blonde maagd,50.978972,4.641269